intent,category,instruction,response,doc_text
cancel_order,ORDER,question about cancelling order {{Order Number}},"I've understood you have a question regarding canceling order {{Order Number}}, and I'm here to provide you with the information you need. Please go ahead and ask your question, and I'll do my best to assist you.","Category: ORDER | Question: question about cancelling order {{Order Number}} | Answer: I've understood you have a question regarding canceling order {{Order Number}}, and I'm here to provide you with the information you need. Please go ahead and ask your question, and I'll do my best to assist you."
change_order,ORDER,I try to change several bloody items of order {{Order Number}},"We understand that you would like to make changes to several items in order number {{Order Number}}. We apologize for any difficulties or frustrations you may have encountered. To assist you efficiently, could you please provide specific details about the items you wish to change? Our team is committed to ensuring your complete satisfaction, and we are here to help you resolve this matter quickly and effectively.","Category: ORDER | Question: I try to change several bloody items of order {{Order Number}} | Answer: We understand that you would like to make changes to several items in order number {{Order Number}}. We apologize for any difficulties or frustrations you may have encountered. To assist you efficiently, could you please provide specific details about the items you wish to change? Our team is committed to ensuring your complete satisfaction, and we are here to help you resolve this matter quickly and effectively."
change_shipping_address,SHIPPING,give me information about a delivery address modification,"I'm happy to help! If you need information on modifying your delivery address, we are here to assist you. Simply provide us with the new address details, and our team will ensure that your package is delivered to the updated location.","Category: SHIPPING | Question: give me information about a delivery address modification | Answer: I'm happy to help! If you need information on modifying your delivery address, we are here to assist you. Simply provide us with the new address details, and our team will ensure that your package is delivered to the updated location."
check_cancellation_fee,CANCEL,"I can't ifnd the bloody termination charge, I need help","No worries! I'll assist you in finding the termination charge. Please provide me with your account details, and I'll look it up for you.","Category: CANCEL | Question: I can't ifnd the bloody termination charge, I need help | Answer: No worries! I'll assist you in finding the termination charge. Please provide me with your account details, and I'll look it up for you."
check_invoice,INVOICE,show me invoice{{Invoice Number}},I understand your need to locate your bill with invoice number {{Invoice Number}}. Let me assist you with that. Please give me a moment to check our records and find the necessary information for you.,Category: INVOICE | Question: show me invoice{{Invoice Number}} | Answer: I understand your need to locate your bill with invoice number {{Invoice Number}}. Let me assist you with that. Please give me a moment to check our records and find the necessary information for you.
check_payment_methods,PAYMENT,I try to list your available payment methoids,"Of course! I appreciate your attempt to access the list of our available payment methods. Allow me to provide you with all the information you need to fulfill your query. Here's a comprehensive list of our accepted payment methods:

- **Credit/Debit Card**: We accept major cards such as Visa, Mastercard, and American Express.
- **PayPal**: A widely used and secure online payment platform.
- **Bank Transfer**: You can directly transfer funds from your bank account to complete the payment.
- **Apple Pay**: For convenient payments through Apple devices.
- **Google Wallet**: A quick and easy payment method for Google users.

I hope this information is helpful to you. If you have any further questions or if there's anything else I can assist you with, please let me know.","Category: PAYMENT | Question: I try to list your available payment methoids | Answer: Of course! I appreciate your attempt to access the list of our available payment methods. Allow me to provide you with all the information you need to fulfill your query. Here's a comprehensive list of our accepted payment methods:

- **Credit/Debit Card**: We accept major cards such as Visa, Mastercard, and American Express.
- **PayPal**: A widely used and secure online payment platform.
- **Bank Transfer**: You can directly transfer funds from your bank account to complete the payment.
- **Apple Pay**: For convenient payments through Apple devices.
- **Google Wallet**: A quick and easy payment method for Google users.

I hope this information is helpful to you. If you have any further questions or if there's anything else I can assist you with, please let me know."
check_refund_policy,REFUND,i do not know hoow i could check ur reimbursement policy,"I'm cognizant of the fact that you're unsure about how to access our reimbursement policy. No worries, I'm here to guide you through it. To view our reimbursement policy, please visit our website and navigate to the ""FAQ"" or ""Terms and Conditions"" section. There, you should find detailed information about our refund process, eligibility criteria, and any specific requirements. If you have any specific questions or need further clarification, don't hesitate to reach out to our customer support team who will be more than happy to assist you. Is there anything else I can help you with?","Category: REFUND | Question: i do not know hoow i could check ur reimbursement policy | Answer: I'm cognizant of the fact that you're unsure about how to access our reimbursement policy. No worries, I'm here to guide you through it. To view our reimbursement policy, please visit our website and navigate to the ""FAQ"" or ""Terms and Conditions"" section. There, you should find detailed information about our refund process, eligibility criteria, and any specific requirements. If you have any specific questions or need further clarification, don't hesitate to reach out to our customer support team who will be more than happy to assist you. Is there anything else I can help you with?"
complaint,FEEDBACK,help me to file a claim,"I've realized you need assistance in filing a claim. Filing a claim can vary depending on the nature of the claim and the policies in place. To ensure an efficient and successful process, it would be helpful if you could provide me with more details about the type of claim you need to file. This will allow me to guide you through the correct steps and provide you with the necessary information and support.","Category: FEEDBACK | Question: help me to file a claim | Answer: I've realized you need assistance in filing a claim. Filing a claim can vary depending on the nature of the claim and the policies in place. To ensure an efficient and successful process, it would be helpful if you could provide me with more details about the type of claim you need to file. This will allow me to guide you through the correct steps and provide you with the necessary information and support."
contact_customer_service,CONTACT,I want help to speak to customer support,"Happy to hear from you! I truly understand that you would like assistance in speaking to our customer support team. Our team is readily available to help address your concerns and provide the necessary support. To connect with a representative, you can reach out to them during our customer support hours at {{Customer Support Hours}}. They can assist you with any questions or issues you may have. Please feel free to share any experiences, doubts, or queries you might have, and I'll do my best to assist you further.","Category: CONTACT | Question: I want help to speak to customer support | Answer: Happy to hear from you! I truly understand that you would like assistance in speaking to our customer support team. Our team is readily available to help address your concerns and provide the necessary support. To connect with a representative, you can reach out to them during our customer support hours at {{Customer Support Hours}}. They can assist you with any questions or issues you may have. Please feel free to share any experiences, doubts, or queries you might have, and I'll do my best to assist you further."
contact_human_agent,CONTACT,"I do not understand you, help me chatting with someone","Thank you for reaching out! I'm sorry if there seems to be a misunderstanding. I'm here to assist you and connect you with a human agent who can help clarify any confusion and answer any questions you may have. Just give me a moment to find the right representative for you. Your satisfaction is our priority, and we'll ensure that your concerns are addressed.","Category: CONTACT | Question: I do not understand you, help me chatting with someone | Answer: Thank you for reaching out! I'm sorry if there seems to be a misunderstanding. I'm here to assist you and connect you with a human agent who can help clarify any confusion and answer any questions you may have. Just give me a moment to find the right representative for you. Your satisfaction is our priority, and we'll ensure that your concerns are addressed."
